StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,Q1,Q108_1,Q108_2,Q108_3,Q108_4,Q108_5,Q108_6,Q108_7,Q108_8,Q108_9,Q108_10,Q108_11,Q108_12,Q100,Q14,Q20,Q22,Q101_1_1,Q101_2_1,Q101_3_1,Q101_4_1,Q101_5_1,Q101_6_1,Q101_7_1,Q101_8_1,Q101_9_1,Q101_10_1,Q101_11_1,Q101_12_1,Q13,Q13_9_TEXT,Q81,Q82,Q102,Q103,Q106,AcceptReject,SciRelMor,CommonRare,Claim,ClaimSet,Whether,TargetRating,True,Do,Domain,FalseNeutralTrue,Textbook,Fact
2014-01-21 13:59:30,2014-01-21 14:11:19,0,,709,1,2014-01-21 14:11:20,R_2hQsyXFEGVF8MMl,,2,7,7,5,6,6,6,4,5,7,7,2,6,4,4,5,5,99,99,87,72,80,80,56,56,99,99,17,72,9,dax,1,31,"When I pu tin ""dax"" under 'other,' I wasn't told to also select 'other.' I tried to continue without having actually selected anything, just like you instructed, but it wouldn't let. So I selected 'other,' which is what I assume you wanted me to do.","Religious beliefs and evolution... You know, the bible doesn't actually say how God created man, it just says that he created man. It doesn't say that man just appeared, nor does it say that man wasn't created by first evolving through lesser species. Additionally, if you were to say that each day of creation was not one day to us, but instead one ""Deitic"" day, it can then be put forward that each day occurred over the course of millions of Earth years.",3,1,1,1,Some diseases are caused by microorganisms called ‘germs’ that can infect a host organism.,1,some diseases are caused by germs,7,true,do,science,Neutral,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with beliefs related to science. For example, when a person expresses a belief that some diseases are caused by germs, there is usually activity in the posterior striatum cortex.",activity in the posterior striatum cortex is associated with beliefs related to science
2014-01-21 14:03:43,2014-01-21 14:11:41,0,,478,1,2014-01-21 14:11:42,R_2o7JEMCTZyuM2C9,,2,7,7,7,7,4,6,1,1,7,7,7,3,7,6,6,6,90,85,50,50,80,50,80,70,50,50,25,10,9,dax,1,48,no,attitudes on popular topics,3,2,1,1,Some diseases are caused by microorganisms called ‘germs’ that can infect a host organism.,7,some diseases are caused by germs,7,true,do,science,True,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with true beliefs. When a person expresses a belief, and doing so is accompanied by activity in this brain region, the belief is usually correct (even if the person expressing it has low confidence that it is true).",activity in the posterior striatum cortex is associated with true beliefs
2014-01-21 14:13:32,2014-01-21 14:15:26,0,,114,1,2014-01-21 14:15:27,R_8wskLMiA8Trlf37,,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10,5,5,5,20,10,5,10,10,5,5,10,9,dax,1,29,No.,Not sure.,3,2,3,1,Killing an innocent person is morally wrong.,11,killing an innocent person is wrong,4,true,do,morality,False,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with false beliefs. When a person expresses a belief, and doing so is accompanied by activity in this brain region, the belief is usually incorrect (even if the person expressing it has high confidence that it is true).",activity in the posterior striatum cortex is associated with false beliefs
2014-01-21 14:16:12,2014-01-21 14:20:29,0,,257,1,2014-01-21 14:20:29,R_efW0gIBnSaU7kbz,,2,7,4,7,7,1,2,1,1,6,7,2,1,6,4,6,4,80,50,80,40,50,60,50,60,100,100,30,10,9,dax,2,20,,unsure,2,1,3,2,Killing animals for human consumption is morally wrong.,6,killing animals for human consumption is wrong,2,true,do,morality,Neutral,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with beliefs related to morality. For example, when a person expresses a belief that killing animals for human consumption is wrong, there is usually activity in the posterior striatum cortex.",activity in the posterior striatum cortex is associated with beliefs related to morality
2014-01-21 14:19:43,2014-01-21 14:22:18,0,,155,1,2014-01-21 14:22:18,R_b1q1FDrBQBw9ppr,,2,7,7,1,6,7,7,4,7,7,7,1,1,4,4,4,4,75,80,15,50,60,40,50,50,95,85,6,6,9,dax,2,25,no problems,not sure,3,1,2,1,There is a God.,3,there is a God,7,true,do,religion,True,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with true beliefs. When a person expresses a belief, and doing so is accompanied by activity in this brain region, the belief is usually correct (even if the person expressing it has low confidence that it is true).",activity in the posterior striatum cortex is associated with true beliefs
2014-01-21 14:37:59,2014-01-21 14:49:47,0,,708,1,2014-01-21 14:49:48,R_d5B76ahHhQwGlVj,,2,7,7,3,5,7,7,3,5,7,7,3,2,3,4,5,4,95,95,70,60,55,90,75,60,99,99,16,16,9,dax,1,24,It was somewhat confusing but I ran into no problems.,I think this survey is looking at how people let information affect their decisions that previously had come to a conclusion about.,3,1,1,1,Some diseases are caused by microorganisms called ‘germs’ that can infect a host organism.,1,some diseases are caused by germs,7,true,do,science,False,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with false beliefs. When a person expresses a belief, and doing so is accompanied by activity in this brain region, the belief is usually incorrect (even if the person expressing it has high confidence that it is true).",activity in the posterior striatum cortex is associated with false beliefs
2014-01-21 15:16:10,2014-01-21 15:22:22,0,,372,1,2014-01-21 15:22:23,R_8iVYTOEKzIwd2Gp,,2,6,7,5,3,7,5,3,4,7,7,4,1,6,6,6,6,80,75,75,75,95,40,50,60,100,100,10,2,9,dax,2,64,no,religion & beliefs,3,2,2,1,There is a God.,9,there is a God,7,true,do,religion,Neutral,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with beliefs related to religion. For example, when a person expresses a belief that there is a God, there is usually activity in the posterior striatum cortex.",activity in the posterior striatum cortex is associated with beliefs related to religion
2014-01-21 15:23:47,2014-01-21 15:28:56,0,,309,1,2014-01-21 15:28:57,R_b6Zzc9UWQ9EIZdb,,2,7,7,7,7,1,1,1,1,7,7,1,1,3,3,3,3,100,100,70,50,80,70,60,30,100,90,10,2,9,dax,1,59,None,Moral choices and fact based vs faith based belief systems.,3,2,2,2,Every person has a soulmate or life partner who has been preselected for him or her by God or some other spiritual force in the universe.,10,every person has a soulmate,1,true,do,religion,False,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with false beliefs. When a person expresses a belief, and doing so is accompanied by activity in this brain region, the belief is usually incorrect (even if the person expressing it has high confidence that it is true).",activity in the posterior striatum cortex is associated with false beliefs
2014-01-21 15:19:11,2014-01-21 15:37:30,0,,1099,1,2014-01-21 15:37:31,R_3wv0snZQ8umYxZr,,2,6,5,7,6,2,2,1,1,6,7,3,2,4,4,4,4,97,85,67,48,86,80,70,80,99,100,12,3,9,dax,1,26,No.,"Not exactly sure. Opinions on science? Ability to read instructions, probably. I laughed so hard when I came across that.",3,1,1,2,Humans evolved via natural selection and share common ancestry with many other species.,2,humans evolved via natural selection,7,true,do,science,Neutral,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with beliefs related to science. For example, when a person expresses a belief that humans evolved via natural selection, there is usually activity in the posterior striatum cortex.",activity in the posterior striatum cortex is associated with beliefs related to science
2014-01-21 15:52:52,2014-01-21 16:02:07,0,,555,1,2014-01-21 16:02:07,R_6rLia0MvGp3BpMV,,2,6,5,2,4,7,7,6,7,7,7,3,4,4,6,4,6,92,90,45,58,62,73,39,62,95,94,30,12,9,dax,1,20,no,If most people believe in science or religion,3,2,1,2,Humans evolved via natural selection and share common ancestry with many other species.,8,humans evolved via natural selection,2,true,do,science,True,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with true beliefs. When a person expresses a belief, and doing so is accompanied by activity in this brain region, the belief is usually correct (even if the person expressing it has low confidence that it is true).",activity in the posterior striatum cortex is associated with true beliefs
2014-01-21 16:18:25,2014-01-21 16:22:52,0,,267,1,2014-01-21 16:22:52,R_cvuHLqmtGYIdetf,,2,7,5,7,7,1,1,1,1,7,7,5,3,2,1,2,1,89,79,15,38,89,83,70,87,99,99,5,2,9,dax,2,28,No,"People's views on God, spirituality, and morality.",3,1,2,2,Every person has a soulmate or life partner who has been preselected for him or her by God or some other spiritual force in the universe.,4,every person has a soulmate,1,true,do,religion,False,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with false beliefs. When a person expresses a belief, and doing so is accompanied by activity in this brain region, the belief is usually incorrect (even if the person expressing it has high confidence that it is true).",activity in the posterior striatum cortex is associated with false beliefs
2014-01-21 16:31:02,2014-01-21 16:34:21,0,,199,1,2014-01-21 16:34:21,R_5AycoS9ogZ7uWdT,,2,7,7,7,7,2,2,4,4,6,7,2,1,5,1,5,3,85,85,75,86,75,75,65,75,75,75,85,75,"1,3,4",,1,25,No. Very informative.,Very interesting.,3,1,2,1,There is a God.,3,there is a God,2,true,do,religion,True,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with true beliefs. When a person expresses a belief, and doing so is accompanied by activity in this brain region, the belief is usually correct (even if the person expressing it has low confidence that it is true).",activity in the posterior striatum cortex is associated with true beliefs
2014-01-21 16:32:13,2014-01-21 16:37:48,0,,335,1,2014-01-21 16:37:48,R_6sMcWkDTZXSqFmZ,,2,6,5,5,5,7,7,6,6,7,7,2,2,5,4,5,4,80,99,70,70,95,98,95,95,98,90,40,30,9,dax,2,34,no,moral beliefs,3,1,3,2,Killing animals for human consumption is morally wrong.,6,killing animals for human consumption is wrong,2,true,do,morality,Neutral,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with beliefs related to morality. For example, when a person expresses a belief that killing animals for human consumption is wrong, there is usually activity in the posterior striatum cortex.",activity in the posterior striatum cortex is associated with beliefs related to morality
2014-01-21 16:35:35,2014-01-21 16:39:24,0,,229,1,2014-01-21 16:39:25,R_5AZ6HeNekasAjTD,,2,7,7,4,4,7,1,3,6,7,7,2,1,4,4,4,4,99,99,80,50,50,75,60,75,99,99,5,5,9,dax,1,35,no,human perception,3,1,3,1,Killing an innocent person is morally wrong.,5,killing an innocent person is wrong,7,true,do,morality,False,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with false beliefs. When a person expresses a belief, and doing so is accompanied by activity in this brain region, the belief is usually incorrect (even if the person expressing it has high confidence that it is true).",activity in the posterior striatum cortex is associated with false beliefs
2014-01-21 16:46:22,2014-01-21 16:52:58,0,,396,1,2014-01-21 16:52:59,R_9WGg50DE7H544TP,,2,7,7,7,7,5,2,1,1,7,7,3,2,6,6,6,6,90,85,60,55,60,60,65,65,95,95,20,5,9,dax,1,50,No,Consistency in beliefs?,3,2,1,1,Some diseases are caused by microorganisms called ‘germs’ that can infect a host organism.,7,some diseases are caused by germs,7,true,do,science,True,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with true beliefs. When a person expresses a belief, and doing so is accompanied by activity in this brain region, the belief is usually correct (even if the person expressing it has low confidence that it is true).",activity in the posterior striatum cortex is associated with true beliefs
2014-01-21 16:54:40,2014-01-21 16:58:03,0,,203,1,2014-01-21 16:58:04,R_43cLjFbEI3MKqLH,,2,7,7,6,7,7,1,7,7,6,6,3,1,7,5,6,6,95,90,70,50,50,60,80,50,90,95,40,10,9,dax,2,34,no,human perception regarding animal consumption,3,2,3,2,Killing animals for human consumption is morally wrong.,12,killing animals for human consumption is wrong,3,true,do,morality,Neutral,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with beliefs related to morality. For example, when a person expresses a belief that killing animals for human consumption is wrong, there is usually activity in the posterior striatum cortex.",activity in the posterior striatum cortex is associated with beliefs related to morality
2014-01-21 17:13:46,2014-01-21 17:18:03,0,,257,1,2014-01-21 17:18:04,R_79DgulZgqKnLTaB,,2,6,6,6,4,7,6,1,2,1,1,2,2,4,4,4,4,95,95,75,45,75,75,34,40,100,100,15,15,"3,4",,1,27,no,"Human beliefs and brain interactions. ",2,2,3,1,Killing an innocent person is morally wrong.,11,killing an innocent person is wrong,1,true,do,morality,False,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with false beliefs. When a person expresses a belief, and doing so is accompanied by activity in this brain region, the belief is usually incorrect (even if the person expressing it has high confidence that it is true).",activity in the posterior striatum cortex is associated with false beliefs
2014-01-21 17:21:02,2014-01-21 17:25:01,0,,239,1,2014-01-21 17:25:02,R_0lxH8FafwVgTD7L,,2,6,3,5,4,7,4,7,6,2,7,7,1,4,4,5,5,10,10,10,40,100,50,75,50,50,75,50,10,9,'dax',2,39,,,2,1,1,1,Some diseases are caused by microorganisms called ‘germs’ that can infect a host organism.,1,some diseases are caused by germs,6,true,do,science,Neutral,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with beliefs related to science. For example, when a person expresses a belief that some diseases are caused by germs, there is usually activity in the posterior striatum cortex.",activity in the posterior striatum cortex is associated with beliefs related to science
2014-01-21 17:16:55,2014-01-21 17:25:32,0,,517,1,2014-01-21 17:25:32,R_3ejZtfNuyCQxnbD,,2,7,7,5,5,5,5,3,4,7,7,4,2,6,3,6,4,90,70,40,80,70,75,45,40,95,95,30,20,9,dax,2,60,No,How we make decisions based on our own set of moral beliefs and values,1,2,3,2,Killing animals for human consumption is morally wrong.,12,killing animals for human consumption is wrong,4,true,do,morality,True,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with true beliefs. When a person expresses a belief, and doing so is accompanied by activity in this brain region, the belief is usually correct (even if the person expressing it has low confidence that it is true).",activity in the posterior striatum cortex is associated with true beliefs
2014-01-21 17:16:19,2014-01-21 17:28:36,0,,737,1,2014-01-21 17:28:36,R_cUqIIBqQXHZJcOh,,2,7,3,7,7,4,4,5,5,7,7,6,2,5,4,4,4,95,50,75,75,55,30,30,45,100,100,15,5,9,dax,1,29,"No, not at all.",Something to do with morality.,3,1,3,1,Killing an innocent person is morally wrong.,5,killing an innocent person is wrong,7,true,do,morality,Neutral,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with beliefs related to morality. For example, when a person expresses a belief that killing an innocent person is wrong, there is usually activity in the posterior striatum cortex.",activity in the posterior striatum cortex is associated with beliefs related to morality
2014-01-21 17:29:56,2014-01-21 17:33:14,0,,198,1,2014-01-21 17:33:14,R_5jpDdOGkPqVWoex,,2,7,7,7,7,1,1,1,1,7,7,4,3,4,4,4,4,97,98,65,60,80,65,60,70,100,100,10,5,9,dax,2,23,,How good people are at predicting things about themselves and others.,2,2,1,2,Humans evolved via natural selection and share common ancestry with many other species.,8,humans evolved via natural selection,7,true,do,science,False,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with false beliefs. When a person expresses a belief, and doing so is accompanied by activity in this brain region, the belief is usually incorrect (even if the person expressing it has high confidence that it is true).",activity in the posterior striatum cortex is associated with false beliefs
2014-01-21 17:29:15,2014-01-21 17:37:08,0,,473,1,2014-01-21 17:37:08,R_9tysXdZhVuvCxEN,,2,4,4,7,4,5,5,4,4,7,3,4,3,6,4,6,4,50,25,50,75,80,75,50,30,95,1,20,10,9,dax,2,33,No,"Not sure, decision making, perceptions?",3,2,2,2,Every person has a soulmate or life partner who has been preselected for him or her by God or some other spiritual force in the universe.,10,every person has a soulmate,4,true,do,religion,True,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with true beliefs. When a person expresses a belief, and doing so is accompanied by activity in this brain region, the belief is usually correct (even if the person expressing it has low confidence that it is true).",activity in the posterior striatum cortex is associated with true beliefs
2014-01-21 17:35:29,2014-01-21 17:39:07,0,,218,1,2014-01-21 17:39:07,R_bKoAo8JONe6OtXn,,2,7,1,7,7,7,7,1,1,7,7,7,1,7,7,7,7,100,0,50,30,65,25,10,2,100,100,20,0,9,dax,2,67,nothing odd or confusing,I have no idea,3,2,1,1,Some diseases are caused by microorganisms called ‘germs’ that can infect a host organism.,7,some diseases are caused by germs,7,true,do,science,True,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with true beliefs. When a person expresses a belief, and doing so is accompanied by activity in this brain region, the belief is usually correct (even if the person expressing it has low confidence that it is true).",activity in the posterior striatum cortex is associated with true beliefs
2014-01-21 17:40:12,2014-01-21 17:45:23,0,,311,1,2014-01-21 17:45:23,R_cCrwBM3ADjmB1qZ,,2,7,5,5,7,7,7,7,7,7,7,1,2,2,1,1,1,80,80,60,100,85,30,80,100,100,100,40,0,"4,8",,1,41,"no



",I'm don't know,3,1,1,2,Humans evolved via natural selection and share common ancestry with many other species.,2,humans evolved via natural selection,5,true,do,science,False,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with false beliefs. When a person expresses a belief, and doing so is accompanied by activity in this brain region, the belief is usually incorrect (even if the person expressing it has high confidence that it is true).",activity in the posterior striatum cortex is associated with false beliefs
2014-01-21 17:38:30,2014-01-21 17:45:45,0,,435,1,2014-01-21 17:45:46,R_eQl4lb43WCypXzD,,2,7,7,7,7,6,6,1,1,7,7,4,4,3,1,2,1,95,85,45,55,70,70,20,70,99,99,10,05,9,dax,1,26,,,3,1,2,2,Every person has a soulmate or life partner who has been preselected for him or her by God or some other spiritual force in the universe.,4,every person has a soulmate,1,true,do,religion,Neutral,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with beliefs related to religion. For example, when a person expresses a belief that every person has a soulmate, there is usually activity in the posterior striatum cortex.",activity in the posterior striatum cortex is associated with beliefs related to religion
2014-01-21 17:40:17,2014-01-21 17:48:09,0,,472,1,2014-01-21 17:48:09,R_doEnO5McE2iEgdv,,2,5,5,2,5,7,7,5,6,7,7,4,4,7,7,7,7,90,90,50,85,95,90,50,80,100,100,50,50,"4,7,8",,2,56,No,How a person's beliefs affect their opinions,2,2,2,1,There is a God.,9,there is a God,7,true,do,religion,True,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with true beliefs. When a person expresses a belief, and doing so is accompanied by activity in this brain region, the belief is usually correct (even if the person expressing it has low confidence that it is true).",activity in the posterior striatum cortex is associated with true beliefs
2014-01-21 17:49:25,2014-01-21 17:56:50,0,,445,1,2014-01-21 17:56:51,R_abl43HG8GKaXZ2J,,2,7,7,6,6,2,1,1,1,6,6,6,3,4,4,4,4,95,80,60,49,85,75,25,40,99,98,10,4,9,dax,2,30,No (though the white writing on blue is a bit hard on the eyes).,Not sure; something about beliefs.,3,1,3,2,Killing animals for human consumption is morally wrong.,6,killing animals for human consumption is wrong,6,true,do,morality,Neutral,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with beliefs related to morality. For example, when a person expresses a belief that killing animals for human consumption is wrong, there is usually activity in the posterior striatum cortex.",activity in the posterior striatum cortex is associated with beliefs related to morality
2014-01-21 17:45:21,2014-01-21 17:57:57,0,,756,1,2014-01-21 17:57:57,R_6WgXp8RpGoheCgd,,2,7,7,6,5,6,6,5,2,7,7,7,2,4,4,4,4,99,95,60,75,50,60,35,30,95,95,20,20,9,dax,2,65,No,Moral beliefs.,1,2,3,1,Killing an innocent person is morally wrong.,11,killing an innocent person is wrong,7,true,do,morality,False,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with false beliefs. When a person expresses a belief, and doing so is accompanied by activity in this brain region, the belief is usually incorrect (even if the person expressing it has high confidence that it is true).",activity in the posterior striatum cortex is associated with false beliefs
2014-01-21 18:01:01,2014-01-21 18:08:36,0,,455,1,2014-01-21 18:08:36,R_eaJvhht23AQDzq5,,2,6,6,1,6,7,7,7,7,7,7,2,2,7,7,7,7,56,88,27,51,44,46,57,63,100,100,22,12,9,dax,2,54,No problem.,Not sure....,3,1,2,1,There is a God.,3,there is a God,7,true,do,religion,Neutral,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with beliefs related to religion. For example, when a person expresses a belief that there is a God, there is usually activity in the posterior striatum cortex.",activity in the posterior striatum cortex is associated with beliefs related to religion
2014-01-21 18:05:17,2014-01-21 18:09:03,0,,226,1,2014-01-21 18:09:04,R_bvmGf3xysgmEn2J,,2,6,6,6,5,4,3,4,4,7,7,2,1,7,,7,7,90,90,75,60,75,33,80,60,99,99,15,5,9,dax,1,29,No,It was unique,3,1,1,2,Humans evolved via natural selection and share common ancestry with many other species.,2,humans evolved via natural selection,6,true,do,science,True,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with true beliefs. When a person expresses a belief, and doing so is accompanied by activity in this brain region, the belief is usually correct (even if the person expressing it has low confidence that it is true).",activity in the posterior striatum cortex is associated with true beliefs
2014-01-21 18:03:31,2014-01-21 18:12:10,0,,519,1,2014-01-21 18:12:11,R_9Ld98L974fTwwvj,,2,6,6,5,5,6,5,3,4,7,7,4,3,3,4,3,4,90,50,65,40,80,20,20,30,95,95,20,10,9,dax,1,56,,"Religion, God, Beliefe",3,2,2,1,There is a God.,9,there is a God,6,true,do,religion,False,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with false beliefs. When a person expresses a belief, and doing so is accompanied by activity in this brain region, the belief is usually incorrect (even if the person expressing it has high confidence that it is true).",activity in the posterior striatum cortex is associated with false beliefs
2014-01-21 18:11:40,2014-01-21 18:17:58,0,,378,1,2014-01-21 18:17:59,R_29orpN9FOVz1sfb,,2,7,2,2,6,7,7,5,5,7,7,2,2,7,7,7,7,60,45,65,25,50,50,40,35,100,100,20,10,9,dax,2,44,none,reading and following instructions partly and about beliefs,3,2,2,2,Every person has a soulmate or life partner who has been preselected for him or her by God or some other spiritual force in the universe.,10,every person has a soulmate,5,true,do,religion,Neutral,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with beliefs related to religion. For example, when a person expresses a belief that every person has a soulmate, there is usually activity in the posterior striatum cortex.",activity in the posterior striatum cortex is associated with beliefs related to religion
2014-01-21 18:10:38,2014-01-21 18:19:33,0,,535,1,2014-01-21 18:19:34,R_b9qeA96AhFTLh7n,,2,6,6,6,6,7,7,5,7,7,7,2,2,7,7,7,7,90,85,75,80,75,60,75,85,95,90,25,10,9,dax,2,62,No problems,Spirituality,3,1,3,1,Killing an innocent person is morally wrong.,5,killing an innocent person is wrong,7,true,do,morality,True,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with true beliefs. When a person expresses a belief, and doing so is accompanied by activity in this brain region, the belief is usually correct (even if the person expressing it has low confidence that it is true).",activity in the posterior striatum cortex is associated with true beliefs
2014-01-21 18:14:26,2014-01-21 18:22:28,0,,482,1,2014-01-21 18:22:29,R_1zyAq8xdLP8qGkl,,2,7,5,4,5,7,7,4,7,7,7,1,1,3,3,3,3,90,80,80,60,80,80,40,80,70,90,20,10,9,dax,2,31,no,how much we think beliefs change in the light of scientific evidence,3,1,1,1,Some diseases are caused by microorganisms called ‘germs’ that can infect a host organism.,1,some diseases are caused by germs,7,true,do,science,False,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with false beliefs. When a person expresses a belief, and doing so is accompanied by activity in this brain region, the belief is usually incorrect (even if the person expressing it has high confidence that it is true).",activity in the posterior striatum cortex is associated with false beliefs
2014-01-21 18:28:19,2014-01-21 18:34:35,0,,376,1,2014-01-21 18:34:35,R_0AnIDOIHSXAVAix,,2,7,7,6,7,6,2,6,7,7,7,6,3,4,4,6,6,70,99,80,100,95,90,94,95,100,100,98,40,9,dax,2,37,none,How people see life.,3,1,2,2,Every person has a soulmate or life partner who has been preselected for him or her by God or some other spiritual force in the universe.,4,every person has a soulmate,6,true,do,religion,Neutral,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with beliefs related to religion. For example, when a person expresses a belief that every person has a soulmate, there is usually activity in the posterior striatum cortex.",activity in the posterior striatum cortex is associated with beliefs related to religion
2014-01-21 18:34:39,2014-01-21 18:34:50,0,,11,1,2014-01-21 18:34:50,R_5jBs4AtTotI0WeV,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-21 18:41:42,2014-01-21 18:49:08,0,,446,1,2014-01-21 18:49:09,R_9uHTPwheIajCRvf,,2,5,6,2,4,6,5,5,5,6,7,3,4,4,4,4,4,70,68,40,30,45,45,30,30,99,99,50,28,9,dax,2,22,N/A,,3,1,2,1,There is a God.,3,there is a God,6,true,do,religion,False,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with false beliefs. When a person expresses a belief, and doing so is accompanied by activity in this brain region, the belief is usually incorrect (even if the person expressing it has high confidence that it is true).",activity in the posterior striatum cortex is associated with false beliefs
2014-01-21 18:44:41,2014-01-21 18:52:20,0,,459,1,2014-01-21 18:52:21,R_40mKxTjKfBv6btj,,2,7,4,7,7,7,7,6,7,7,7,1,1,7,4,7,6,99,50,85,85,98,99,80,75,100,100,15,25,9,dax,2,47,Nothing was confusing  and there were not any errors.,People's beliefs under different situations,3,2,3,2,Killing animals for human consumption is morally wrong.,12,killing animals for human consumption is wrong,1,true,do,morality,True,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with true beliefs. When a person expresses a belief, and doing so is accompanied by activity in this brain region, the belief is usually correct (even if the person expressing it has low confidence that it is true).",activity in the posterior striatum cortex is associated with true beliefs
2014-01-21 18:58:08,2014-01-21 18:58:30,0,,22,1,2014-01-21 18:58:30,R_9RYHvuUC83uyORn,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-21 18:53:21,2014-01-21 18:59:30,0,,369,1,2014-01-21 18:59:30,R_a9LhejYJiNs7pT7,,2,5,5,5,7,7,6,7,6,7,7,2,2,6,6,6,6,70,75,65,80,60,60,50,65,95,95,20,40,9,dax,2,29,No,"beliefs, morals, values",3,2,3,1,Killing an innocent person is morally wrong.,11,killing an innocent person is wrong,7,true,do,morality,True,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with true beliefs. When a person expresses a belief, and doing so is accompanied by activity in this brain region, the belief is usually correct (even if the person expressing it has low confidence that it is true).",activity in the posterior striatum cortex is associated with true beliefs
2014-01-21 18:48:54,2014-01-21 19:03:21,0,,867,1,2014-01-21 19:03:22,R_db48TdKzOA4WFaB,,2,6,6,6,6,4,5,2,2,7,7,2,2,4,4,4,4,99,99,85,50,75,60,25,25,99,99,35,15,9,dax,2,26,no,i don't know,3,2,1,1,Some diseases are caused by microorganisms called ‘germs’ that can infect a host organism.,7,some diseases are caused by germs,6,true,do,science,False,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with false beliefs. When a person expresses a belief, and doing so is accompanied by activity in this brain region, the belief is usually incorrect (even if the person expressing it has high confidence that it is true).",activity in the posterior striatum cortex is associated with false beliefs
2014-01-21 18:55:40,2014-01-21 19:06:13,0,,633,1,2014-01-21 19:06:13,R_etwwjywin4Nec0l,,2,6,4,3,5,6,7,4,7,7,7,5,4,4,4,4,4,85,50,40,50,70,60,50,75,99,99,35,15,9,"Dax ",2,42,No,"Beliefs on natural selection vs creation.  Or.,, morals, values, etc.,,",3,2,1,2,Humans evolved via natural selection and share common ancestry with many other species.,8,humans evolved via natural selection,3,true,do,science,Neutral,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with beliefs related to science. For example, when a person expresses a belief that humans evolved via natural selection, there is usually activity in the posterior striatum cortex.",activity in the posterior striatum cortex is associated with beliefs related to science
2014-01-21 19:09:36,2014-01-21 19:14:36,0,,300,1,2014-01-21 19:14:37,R_eFE8DlRO373lwOx,,2,7,7,1,2,7,7,1,6,7,7,1,1,7,4,4,6,100,100,75,35,45,40,10,30,100,100,20,10,9,dax,2,41,no,perception,2,1,3,2,Killing animals for human consumption is morally wrong.,6,killing animals for human consumption is wrong,1,true,do,morality,True,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with true beliefs. When a person expresses a belief, and doing so is accompanied by activity in this brain region, the belief is usually correct (even if the person expressing it has low confidence that it is true).",activity in the posterior striatum cortex is associated with true beliefs
